"","radius_mean","texture_mean","perimeter_mean","area_mean","smoothness_mean","compactness_mean","concavity_mean","concave.points_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","perimeter_se","area_se","smoothness_se","compactness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","radius_worst","texture_worst","perimeter_worst","area_worst","smoothness_worst","compactness_worst","concavity_worst","concave.points_worst","symmetry_worst","fractal_dimension_worst"
"texture_se",-0.0973174431448134,0.38635762272449,-0.0867610783117949,-0.0662802136045774,0.0684064481711825,0.0462048307164068,0.07621834813534,0.0214795819234017,0.128052926340256,0.164173965871729,0.213247337251158,1,0.223170728630714,0.111567247218039,0.39724285264121,0.231699698976237,0.194998464458819,0.230283399557033,0.411620680197539,0.279722747719194,-0.11169031312493,0.409002766315306,-0.102241921887433,-0.0831949885850467,-0.0736576591011854,-0.0924393536181939,-0.0689562205464562,-0.119637523139846,-0.12821475779253,-0.0456545685932071
"perimeter_se",0.674171615764105,0.281673114787203,0.693134889540866,0.726628327790684,0.296091932893514,0.548905264588823,0.660390787241962,0.710649871613899,0.313892760796513,0.0398299315720471,0.972793677016075,0.223170728630714,1,0.937655406954416,0.151075331208413,0.416322367992462,0.362481582270449,0.556264083654396,0.266487091864023,0.244142773416286,0.697200592720646,0.200370853959451,0.721031309989018,0.730712973130283,0.13005439199101,0.341919445371206,0.418898815730572,0.554897230628211,0.10993043423135,0.0854325720566573
"area_se",0.735863663212818,0.259844986610098,0.744982694119068,0.80008592123432,0.246552431665735,0.455652851987889,0.617426805845241,0.690298539759553,0.22397021941763,-0.0901702475204273,0.95183011211099,0.111567247218039,0.937655406954416,1,0.0751503381219938,0.284840056541161,0.270894726190632,0.4157295683714,0.134108979692475,0.127070902978013,0.757373188924016,0.19649664907281,0.761212636068759,0.811407960931728,0.125389430516091,0.283256537537455,0.385100135598529,0.538166313895736,0.074126291599528,0.0175392951323854
"smoothness_se",-0.222600124582111,0.00661377735358534,-0.202694026298322,-0.166776666601113,0.332375442647592,0.135299267700472,0.0985637457991174,0.0276533083871362,0.187321165261391,0.401964425448413,0.164514219812812,0.39724285264121,0.151075331208413,0.0751503381219938,1,0.336696080505445,0.268684759872263,0.328429499109679,0.413506125207898,0.427374206723158,-0.230690709845148,-0.0747429648767563,-0.217303754581862,-0.182195478059099,0.314457455980828,-0.0555581387150508,-0.0582983867434454,-0.102006796337465,-0.107342097789145,0.101480315042525
"compactness_se",0.205999980407699,0.191974611323967,0.250743680740588,0.212582550779233,0.318943296705379,0.738721789660392,0.67027882464302,0.490424249593571,0.421659147005011,0.559836690621134,0.356064575532203,0.231699698976237,0.416322367992462,0.284840056541161,0.336696080505445,1,0.801268342738329,0.744082667695325,0.394712834762032,0.803268817661767,0.204607165947482,0.143002583295717,0.260515839647209,0.199371329091014,0.227394232305423,0.678780354372496,0.63914669775592,0.483208326825614,0.277878430714635,0.59097276250479
"concavity_se",0.194203622761509,0.143293076560498,0.228082345393658,0.207660060482569,0.248395679882555,0.570516871489889,0.691270207544851,0.439167068474262,0.34262702307772,0.446630321699571,0.33235753760761,0.194998464458819,0.362481582270449,0.270894726190632,0.268684759872263,0.801268342738329,1,0.771803994923845,0.309428577984451,0.727372183881193,0.186903515685898,0.100240983748346,0.226680425590901,0.188352652089531,0.168481320791367,0.484857800686469,0.662564133742742,0.440472263046223,0.197787821861411,0.439329268575791
"concave.points_se",0.376168955939926,0.163851025285218,0.407216915998619,0.37232028233071,0.380675690983286,0.642261850971647,0.683259916512327,0.615634130896919,0.393297872089017,0.341198044397118,0.513346441436765,0.230283399557033,0.556264083654396,0.4157295683714,0.328429499109679,0.744082667695325,0.771803994923845,1,0.312780223209733,0.611044139380723,0.358126669241042,0.0867412099428685,0.394999251774184,0.342271162092682,0.215350596815934,0.452888377369881,0.549592375235193,0.602449605920987,0.14311566863305,0.31065455149383
"symmetry_se",-0.104320881417866,0.00912716775503604,-0.0816293270283995,-0.0724965882117627,0.200774375920483,0.229976590801432,0.178009207920878,0.0953507868866769,0.449136542393429,0.345007397143728,0.240567362450071,0.411620680197539,0.266487091864023,0.134108979692475,0.413506125207898,0.394712834762032,0.309428577984451,0.312780223209733,1,0.369078083365729,-0.128120769072743,-0.077473420184079,-0.103753043843325,-0.110342742895499,-0.0126617995659088,0.0602548794653667,0.0371190485999284,-0.030413396423601,0.389402484884646,0.0780794762726677
"fractal_dimension_se",-0.0426412691144562,0.0544575195689336,-0.00552339105700397,-0.019886963235068,0.283606698546885,0.507318126900422,0.449300749050338,0.257583746243033,0.331786146273124,0.688131577458552,0.227753532671981,0.279722747719194,0.244142773416286,0.127070902978013,0.427374206723158,0.803268817661767,0.727372183881193,0.611044139380723,0.369078083365729,1,-0.0374876178626734,-0.00319502886808959,-0.00100039762596681,-0.0227361473089005,0.170568315953142,0.390158842086675,0.379974661457079,0.215204013310029,0.111093955755724,0.591328065660875
"radius_worst",0.969538972611206,0.352572947150296,0.969476363466314,0.962746086047083,0.213120141895949,0.535315398217666,0.688236407643673,0.830317631118615,0.185727753495688,-0.25369149487661,0.715065195135185,-0.11169031312493,0.697200592720646,0.757373188924016,-0.230690709845148,0.204607165947482,0.186903515685898,0.358126669241042,-0.128120769072743,-0.0374876178626734,1,0.359920754221048,0.993707916102951,0.984014564459074,0.216574431259696,0.475820037460147,0.573974708099304,0.787423851712241,0.243529204291313,0.0934919786793017
"texture_worst",0.297007643986374,0.912044588840422,0.30303837155715,0.287488627121397,0.0360717987856464,0.248132833277418,0.299878888709691,0.292751713001518,0.0906506881166428,-0.0512692020367651,0.194798556834251,0.409002766315306,0.200370853959451,0.19649664907281,-0.0747429648767563,0.143002583295717,0.100240983748346,0.0867412099428685,-0.077473420184079,-0.00319502886808959,0.359920754221048,1,0.365098245408619,0.345842282526797,0.225429414909487,0.360832338597973,0.368365607459945,0.359754609525037,0.233027461445317,0.219122425463159
"perimeter_worst",0.965136513955988,0.358039575053224,0.970386887042639,0.959119574355265,0.23885262620915,0.590210427731298,0.729564916513202,0.855923128134311,0.219168559111058,-0.205151211262774,0.719683803665005,-0.102241921887433,0.721031309989018,0.761212636068759,-0.217303754581862,0.260515839647209,0.226680425590901,0.394999251774184,-0.103753043843325,-0.00100039762596681,0.993707916102951,0.365098245408619,1,0.977578091406388,0.23677460388607,0.529407690164103,0.618344079533516,0.816322101687544,0.269492769083817,0.138956861845757
"area_worst",0.941082459586047,0.34354594718647,0.941549808002307,0.9592133256499,0.206718363428577,0.50960380555792,0.675987231306088,0.809629619909618,0.177193377374097,-0.231854451167561,0.75154847612662,-0.0831949885850467,0.730712973130283,0.811407960931728,-0.182195478059099,0.199371329091014,0.188352652089531,0.342271162092682,-0.110342742895499,-0.0227361473089005,0.984014564459074,0.345842282526797,0.977578091406388,1,0.20914533376029,0.438296283779674,0.54333052541108,0.747418802322818,0.209145508387079,0.079647034024676
"smoothness_worst",0.119616139921608,0.0775033588221289,0.150549404317037,0.123522938755571,0.805324195494363,0.565541166375088,0.44882203840476,0.452753054179048,0.426675026384947,0.504942075351762,0.141918552918607,-0.0736576591011854,0.13005439199101,0.125389430516091,0.314457455980828,0.227394232305423,0.168481320791367,0.215350596815934,-0.0126617995659088,0.170568315953142,0.216574431259696,0.225429414909487,0.23677460388607,0.20914533376029,1,0.568186516685607,0.518523292864002,0.547690902949787,0.493838330235759,0.617624191655438
"compactness_worst",0.413462823060802,0.277829592478979,0.455774228038327,0.390410309242499,0.472468443730443,0.865809039802263,0.754968015906397,0.667453676825712,0.473200013244618,0.45879815666786,0.28710316560074,-0.0924393536181939,0.341919445371206,0.283256537537455,-0.0555581387150508,0.678780354372496,0.484857800686469,0.452888377369881,0.0602548794653667,0.390158842086675,0.475820037460147,0.360832338597973,0.529407690164103,0.438296283779674,0.568186516685607,1,0.892260898776469,0.801080364635253,0.614440501149306,0.810454856311612
"concavity_worst",0.526911461838545,0.301025223816491,0.563879263473662,0.512605920443325,0.434925714725087,0.816275249800029,0.884102639094382,0.752399497574965,0.433721007590173,0.346233876348068,0.380584634628722,-0.0689562205464562,0.418898815730572,0.385100135598529,-0.0582983867434454,0.63914669775592,0.662564133742742,0.549592375235193,0.0371190485999284,0.379974661457079,0.573974708099304,0.368365607459945,0.618344079533516,0.54333052541108,0.518523292864002,0.892260898776469,1,0.855433860343999,0.532519729118362,0.686510921244863
"concave.points_worst",0.744214197867467,0.295315843337737,0.771240789360549,0.722016626260358,0.50305335329895,0.815573223569065,0.861323033637951,0.910155314298593,0.430296611457954,0.175325449243245,0.531062327821605,-0.119637523139846,0.554897230628211,0.538166313895736,-0.102006796337465,0.483208326825614,0.440472263046223,0.602449605920987,-0.030413396423601,0.215204013310029,0.787423851712241,0.359754609525037,0.816322101687544,0.747418802322818,0.547690902949787,0.801080364635253,0.855433860343999,1,0.502528493830698,0.511114145886339
"symmetry_worst",0.163953334936307,0.105007910315972,0.189115040462457,0.143569913889071,0.394309481811755,0.510223429921806,0.409464126539986,0.375744145423611,0.699825797643731,0.334018683851083,0.0945428303543819,-0.12821475779253,0.10993043423135,0.074126291599528,-0.107342097789145,0.277878430714635,0.197787821861411,0.14311566863305,0.389402484884646,0.111093955755724,0.243529204291313,0.233027461445317,0.269492769083817,0.209145508387079,0.493838330235759,0.614440501149306,0.532519729118362,0.502528493830698,1,0.537848206253608
"fractal_dimension_worst",0.00706588569218255,0.119205351397085,0.0510185297234066,0.00373759735157159,0.499316368593766,0.687382322753897,0.514929890636387,0.368661133716771,0.438413498444603,0.767296779238436,0.0495594324645731,-0.0456545685932071,0.0854325720566573,0.0175392951323854,0.101480315042525,0.59097276250479,0.439329268575791,0.31065455149383,0.0780794762726677,0.591328065660875,0.0934919786793017,0.219122425463159,0.138956861845757,0.079647034024676,0.617624191655438,0.810454856311612,0.686510921244863,0.511114145886339,0.537848206253608,1
